author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
xnih13@gmail.com,,Scanner,http://www.gfi.com,GFI Software,2008-06-29,GFI LNSS,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""19"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""0x4a49"", ""icmpdata"": ""abcdefghijklmnopqrstuvwabcdefghi"", ""icmpttl"": ""128""}]"
xnih13@gmail.com,,Scanner,http://www.hoobie.net/mingsweeper/,Hoobie,2008-06-29,MingSweeper,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x1ff"", ""icmpseq"": ""31337"", ""icmpchecksum"": ""0xaec6"", ""icmpdata"": ""01234567"", ""icmpttl"": ""128""}]"
thierry@zoller.lu,,Printer,http://www.konicaminolta.com,Minolta,2006-08-04,Minolta Printer,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""0"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""64""}]"
xnih13@gmail.com,,,,,2006-08-21,NetWare,NetWare,NetWare,http://www.novell.com,Novell,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x4757"", ""icmpseq"": ""1"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""0"", ""icmpcode"": ""0"", ""icmpid"": ""0x300C"", ""icmpseq"": ""1"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}]"
xnih13@gmail.com,"ttl is random value under 60, id is random, data is 120 chars repeating",Scanner,http://insecure.org,insecure.org,2010-02-08,NMAP,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""icmptype"": ""8"", ""icmpcode"": ""9"", ""icmpid"": ""*"", ""icmpseq"": ""295"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""60""}]"
xnih13@gmail.com,,,,,2009-08-22,Windows,Windows,Windows,http://www.microsoft.com/windows,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0300"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0400"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0300"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0400"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}]"
xnih13@gmail.com,,,,,2006-08-22,Windows 2000,Windows,Windows 2000,http://www.microsoft.com,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}]"
xnih13@gmail.com,,,,,2014-06-24,Windows 8,Windows,Windows 8,http://www.microsoft.com/windows/windows-7/default.aspx,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0001"", ""icmpseq"": ""280"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}]"
xnih13@gmail.com,,,,,2006-08-24,Windows 95,Windows,Windows 95,http://www.microsoft.com,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0100"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}]"
xnih13@gmail.com,,,,,2006-08-24,Windows ME,Windows,Windows ME,http://www.microsoft.com,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0300"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}]"
xnih13@gmail.com,,,,,2006-08-24,Windows NT,Windows,Windows NT,http://www.microsoft.com,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0100"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0100"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}]"
xnih13@gmail.com,,,,,2012-01-09,Windows Server 2008 R2,Windows,Windows Server 2008 R2,http://www.microsoft.com/windowsserver2008r2,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}]"
xnih13@gmail.com,,,,,2009-02-15,Windows XP,Windows,Windows XP,http://www.microsoft.com/windows/windows-xp,Microsoft Corp.,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0300"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0400"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""32""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0200"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""icmptype"": ""8"", ""icmpcode"": ""0"", ""icmpid"": ""0x0400"", ""icmpseq"": ""256"", ""icmpchecksum"": ""!=0"", ""icmpttl"": ""128""}]"
