author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
xnih13@gmail.com,,VoIP Phone,http://www.3cx.com/phone-system/index.html,3cx,2010-07-21,3CX IP Phone System,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""3CXPhoneSystem""}]"
xnih13@gmail.com,,VoIP Phone,http://www.3cx.com/VOIP/voip-phone.html,3cx,2010-07-21,3CX IP SoftPhone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""3CX Phone""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""3CXPhone""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""3CXVoipPhone""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 312 IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 312""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""AastraPhone312""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 480 IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 480i""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 55i IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 55i""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 57i IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 57i""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 6730i IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 6730i""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 9112i IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 9112i""}]"
xnih13@gmail.com,,VoIP Phone,http://www.aastratelecom.com,Aastra Technologies Limited,2010-07-21,Aastra 9133i IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Aastra 9133i""}]"
xnih13@gmail.com,,VoIP Phone,http://www.detewe.ru/oc1k_br_01.htm,Aastra DeTeWe GmbH,2010-07-21,Aastra OpenComm 1000 IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""OpenCom1000""}]"
xnih13@gmail.com,,VoIP Phone,http://www.accton.com/,Accton Technology Corporation,2010-07-21,Accton IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""AcctonVoIP""}]"
xnih13@gmail.com,,VoIP Phone,http://www.asterisk.org/,Asterisk,2010-07-21,Asterisk IP Phone System,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Asterisk PBX""}]"
xnih13@gmail.com,,VoIP Phone,http://www.cisco.com,"Cisco Systems, Inc.",2010-07-21,Cisco 7960x IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Cisco-CP7960""}]"
xnih13@gmail.com,,VoIP Phone,http://www.counterpath.com/eyebeam.html,Counterpath,2010-07-21,eyeBeam IP SoftPhone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""eyeBeam""}]"
xnih13@gmail.com,,VoIP Gateway,http://www.cisco.com,"Cisco Systems, Inc.",2010-07-21,Linksys PAP IP Phone Gateway,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Linksys/PAP2""}]"
xnih13@gmail.com,,VoIP Gateway,http://www.cisco.com,"Cisco Systems, Inc.",2010-07-21,Linksys RT IP Phone Gateway,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Linksys/RT""}]"
xnih13@gmail.com,,VoIP Phone,http://www.cisco.com,"Cisco Systems, Inc.",2010-07-21,LinkSys SPA IP Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Linksys/SPA""}]"
xnih13@gmail.com,,VoIP Phone,http://www.cisco.com,"Cisco Systems, Inc.",2010-07-21,Linksys WIP IP Wireless Phone,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Linksys/WIP""}]"
xnih13@gmail.com,,VoIP Gateway,http://www.cisco.com,"Cisco Systems, Inc.",2010-07-21,Linksys WRP IP Wireless Phone Gateway,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Linksys/WRP""}]"
xnih13@gmail.com,,,,,2012-01-09,Linux,Linux,Linux,http://www.kernel.org/,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""linux""}]"
xnih13@gmail.com,,SmartTV,http://developer.samsung.com/devices/tv-specs,Samsung,2014-06-23,Samsung SmartTV,Linux,VDLinux 2.6,http://developer.samsung.com/devices/tv-specs,Samsung,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""sipserver"": ""Samsung UPnP""}]"
