author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2023-12-27,Chrome,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1516h2_8daaf6152771_e5627efa2ab1""}]"
xnih13@gmail.com,,,,,2024-04-06,Chrome 118-123,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1517h2_8daaf6152771_b1ff8ab2d16f""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1516h2_8daaf6152771_02713d6af862""}]"
xnih13@gmail.com,,,,,2024-01-08,curl,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""4ea056e63b7910cbf543f0c095064dfe""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d3113h2_e8f1e7e78f70_ce5650b735ce""}]"
xnih13@gmail.com,,,,,2024-05-27,Firefox 115 (debian),,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""579ccef312d18482fc42e2b822ca2430""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""c279b0189edb9269da7bc43dea5e0c36""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1715h2_5b57614c22b0_3d5424432f57""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1714h1_5b57614c22b0_8f66f9ee9c6c""}]"
xnih13@gmail.com,,,,,2024-04-06,Firefox 116-122,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1715h2_5b57614c22b0_5c2c66f702b0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""b5001237acdf006056b409cc433726b0""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1716h2_5b57614c22b0_28a30a3f7180""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1715h2_5b57614c22b0_7121afd63204""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""a696a018266f1e7e33d73ecf3b64f8fd""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""a195b9c006fcb23ab9a2343b0871e362""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d1715h1_5b57614c22b0_7121afd63204""}]"
,,,,,2024-07-02,FreeRDP 2.11,MacOS,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""a3afc2c46ba4a7d7fbe1cfb7a3031c2f""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d311000_e8f1e7e78f70_1f22a2ca17c4""}]"
xnih13@gmail.com,,,,,2024-01-08,Git (cli),,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""t13d2912h2_723694b0fccc_288f874c93d6""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""8662467bc96db2d387755570446a7946""}]"
Adel Karimi,https://medium.com/@0x4d31/rdp-client-fingerprinting-9e7ac219f7f4,,,,2024-07-02,MacOS - FreeRDP,MacOS,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""75fb48a465416d66291fb52a733d4787""}]"
Adel Karimi,https://medium.com/@0x4d31/rdp-client-fingerprinting-9e7ac219f7f4,,,,2024-07-02,MacOS - Microsoft Remote Desktop,MacOS,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""e4d448cdfe06dc1243c1eb026c74ac9a""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja4"", ""sslsig"": ""td220700_0d4ca5d4ec72_3304d8368043""}]"
Adel Karimi,https://medium.com/@0x4d31/rdp-client-fingerprinting-9e7ac219f7f4,,,,2024-07-02,MacOS - pupys rdp module,MacOS,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""testtype"": ""ja3"", ""sslsig"": ""f330c48fc4abc5ffc0720d7f92108e22""}]"
