author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
xnih13@gmail.com,,,,Amazon,2021-05-03,Amazon Echo Dot,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webuseragent"": ""Echo_Dot""}]"
xnih13@gmail.com,,,,Amazon,2020-12-23,Amazon Echo Show,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webuseragent"": ""Echo_Show""}]"
xnih13@gmail.com,,,,Amazon,2020-12-23,Amazon Echo Show 5,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Echo_Show_5""}]"
xnih13@gmail.com,,,,Amazon,2025-12-20,Amazon Fire Stick,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""webuseragent"": ""FireTV""}]"
xnih13@gmail.com,,Smartphone,,,2025-12-22,Android,Android,Android,http://www.android.com,Android,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""webuseragent"": ""avdroid""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""webuseragent"": ""android""}]"
xnih13@gmail.com,,Smartphone,,,2019-02-09,Android 1.1,Android,Android 1.1,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 1.1""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-14,Android 1.2,Android,Android 1.1,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 1.2""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-14,Android 1.3,Android,Android 1.1,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 1.3""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-14,Android 1.4,Android,Android 1.1,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 1.4""}]"
xnih13@gmail.com,,Smartphone,,,2020-05-14,Android 1.5,Android,Android 1.1,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 1.5""}]"
xnih13@gmail.com,,Smartphone,,,2019-02-09,Android 1.6,Android,Android 1.6,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 1.6""}]"
xnih13@gmail.com,,Smartphone,,,2025-12-22,Android 10.0,Android,Android 10.0,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 10""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android/10""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android OS 10""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android/29""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android (29/10""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android;10""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android SDK: 29""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""AndroidSDK_29""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android; 29""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android API Level: 29""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 29""}]"
xnih13@gmail.com,,Smartphone,,,2025-12-22,Android 11.0,Android,Android 11.0,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 11""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android/11""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android OS 11""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android/30""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android (30/11""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android;11""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android SDK: 30""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""AndroidSDK_30""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android; 30""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android API Level: 30""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 30""}]"
xnih13@gmail.com,,Smartphone,,,2025-12-22,Android 12.0,Android,Android 12.0,http://www.android.com,Android,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 12""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android/12""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android OS 12""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android/31""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android (31/12""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android;12""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android SDK: 31""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""AndroidSDK_31""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android; 31""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android API Level: 31""}, {""weight"": ""7"", ""matchtype"": ""partial"", ""webuseragent"": ""Android 31""}]"
